date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:40	705/705	---M--	200	added ('OK')	text/plain	etag:%22a9df051b50da1:0%22	https://en.urovo.com/robots.txt		(from )
23:49:41	48669/48669	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2016:49:43%20GMT	https://en.urovo.com/	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/index.html	(from )
23:49:42	72259/72259	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:13%20GMT	https://enoss.urovo.com/Public/Home/css/animate.min.css	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/animate.min.css	(from https://en.urovo.com/)
23:49:42	17759/17759	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:15%20GMT	https://enoss.urovo.com/Public/Home/css/swiper.min.css	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/swiper.min.css	(from https://en.urovo.com/)
23:49:42	121205/121205	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:13%20GMT	https://enoss.urovo.com/Public/Home/css/bootstrap.min.css?v=v14.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/bootstrap.mind584.css	(from https://en.urovo.com/)
23:49:42	333961/333961	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:15%20GMT	https://enoss.urovo.com/Public/Home/css/style.css?v=v15.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/style8e02.css	(from https://en.urovo.com/)
23:49:43	89678/89678	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:14%20GMT	https://enoss.urovo.com/Public/Home/css/newcss.css?v14.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/newcss8851.css	(from https://en.urovo.com/)
23:49:43	60903/60903	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:14%20GMT	https://enoss.urovo.com/Public/Home/css/mnewcss.css?v=v14.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/mnewcssd584.css	(from https://en.urovo.com/)
23:49:43	105578/105578	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:14%20GMT	https://enoss.urovo.com/Public/Home/css/newcss2.css?v=v20.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/newcss2da45.css	(from https://en.urovo.com/)
23:49:43	35732/35732	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2009:08:14%20GMT	https://enoss.urovo.com/Public/Home/css/mnewcss2.css?v=v14.0	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/Public/Home/css/mnewcss2d584.css	(from https://en.urovo.com/)
23:49:43	4577/4577	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22074aa6c4453d61:0%22	https://en.urovo.com/Public/Mobile/js/hotcss.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Mobile/js/hotcss.js	(from https://en.urovo.com/)
23:49:44	93100/93100	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220bb55718a43d61:0%22	https://en.urovo.com/Public/Home/js/jquery.min.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/jquery.min.js	(from https://en.urovo.com/)
23:49:44	10407/10407	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220bb55718a43d61:0%22	https://en.urovo.com/Public/Home/js/wow.min.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/wow.min.js	(from https://en.urovo.com/)
23:49:44	86923/86923	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220bb55718a43d61:0%22	https://en.urovo.com/Public/Home/js/swiper.jquery.min.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/swiper.jquery.min.js	(from https://en.urovo.com/)
23:49:44	2128/2128	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e8210b0f397d71:0%22	https://en.urovo.com/Public/Home/js/main.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/main.js	(from https://en.urovo.com/)
23:49:45	19843/19843	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220511fa63a67d21:0%22	https://en.urovo.com/Public/Home/layer/layer.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/layer/layer.js	(from https://en.urovo.com/)
23:49:45	4572/4572	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220bb55718a43d61:0%22	https://en.urovo.com/Public/Home/js/jquery.lazyload.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/jquery.lazyload.js	(from https://en.urovo.com/)
23:49:45	2467/2467	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220bb55718a43d61:0%22	https://en.urovo.com/Public/Home/js/nav.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/nav.js	(from https://en.urovo.com/)
23:49:45	46971/46971	---MCZ	200	added ('OK')	text/css	etag:W/%22761468739b4ada1:0%22	https://en.urovo.com/Public/Home/css/newpage1.css?v6.0	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/css/newpage1e616.css	(from https://en.urovo.com/)
23:49:48	47172/47172	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Mar%202024%2016:49:49%20GMT	https://en.urovo.com/Public/Home/css/swiper.min5.4.5.css	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/css/swiper.min5.4.5.css	(from https://en.urovo.com/)
23:49:49	140947/140947	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22087bfea057d91:0%22	https://en.urovo.com/Public/Home/js/swiper.min5.4.5.js	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Public/Home/js/swiper.min5.4.5.js	(from https://en.urovo.com/)
23:49:51	38534/38534	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2016:49:53%20GMT	https://en.urovo.com/Index/privacy.html	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Index/privacy.html	(from https://en.urovo.com/)
23:49:52	38115/38115	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2016:49:54%20GMT	https://en.urovo.com/Partner/feedback.html	C:/Users/LENOVO/Downloads/urovo/en.urovo.com/Partner/feedback.html	(from https://en.urovo.com/)
23:49:52	20718/20718	---M--	200	added ('OK')	image/png	etag:%228BEF439CE5804D4AC8D9046175AFB6E6%22	https://enoss.urovo.com/index/90kjjaHD.png	C:/Users/LENOVO/Downloads/urovo/enoss.urovo.com/index/90kjjaHD.png	(from https://en.urovo.com/)
